,MONTH,MONTH(PADDED),DAY,DAY(PADDED),HOUR,HOUR(PADDED),AIR TEMP,WIND SPEED,SOLAR RADIATION,RAIN GAUGE,PEOPLE COUNTER
010101,01,01,01,01,01,01,27.29916667,4.916666667,0,0,2
010102,01,01,01,01,02,02,27.235,4.583333333,0.066666667,0,4
010103,01,01,01,01,03,03,27.21,5.166666667,0,0,3
010104,01,01,01,01,04,04,27.075,4.833333333,0.066666667,0,3
010105,01,01,01,01,05,05,27.2175,4.5,0,0,1
010106,01,01,01,01,06,06,27.22666667,6.416666667,0,0,0
010107,01,01,01,01,07,07,27.32666667,4.083333333,11.44166667,0,0
010108,01,01,01,01,08,08,27.67833333,4,48.15833333,0,0
010109,01,01,01,01,09,09,28.02333333,2.5,65.2,0,0
010110,01,01,01,01,10,10,28.7375,2.916666667,145.75,0,0
010111,01,01,01,01,11,11,29.4925,3.416666667,226.575,0,1
010112,01,01,01,01,12,12,30.5375,3.583333333,352.3416667,0,1
010113,01,01,01,01,13,13,31.34583333,3.25,363.3166667,0,1
010114,01,01,01,01,14,14,30.88916667,4.166666667,454.8166667,0,1
010115,01,01,01,01,15,15,30.77833333,5.333333333,330.875,0,2
010116,01,01,01,01,16,16,30.32833333,3.416666667,183.8916667,0,2
010117,01,01,01,01,17,17,30.3825,3.75,153.1666667,0,1
010118,01,01,01,01,18,18,29.7425,2.916666667,70.05833333,0,2
010119,01,01,01,01,19,19,29.3525,3.75,26.3,0,3
010120,01,01,01,01,20,20,29.15333333,4.333333333,4.783333333,0,5
010121,01,01,01,01,21,21,29.03416667,3.416666667,0,0,4
010122,01,01,01,01,22,22,29.03416667,3.666666667,0,0,4
010123,01,01,01,01,23,23,28.64083333,4.333333333,0,0,5
010124,01,01,01,01,24,24,28.02416667,5.333333333,0,0,2
010201,01,01,02,02,01,01,27.56833333,5.5,0,0,0
010202,01,01,02,02,02,02,27.59833333,4.25,0,0,0
010203,01,01,02,02,03,03,27.86416667,3.5,0,0,1
010204,01,01,02,02,04,04,27.9175,2.75,0,0,0
010205,01,01,02,02,05,05,27.99666667,2.333333333,0,0,0
010206,01,01,02,02,06,06,27.965,3.083333333,0.066666667,0,1
010207,01,01,02,02,07,07,28.06166667,2.416666667,4.075,0,1
010208,01,01,02,02,08,08,28.54583333,3,34.29166667,0,2
010209,01,01,02,02,09,09,29.07416667,3.666666667,83.50833333,0,1
010210,01,01,02,02,10,10,29.88166667,2.416666667,158.0916667,0,1
010211,01,01,02,02,11,11,30.5625,2.416666667,250.875,0,1
010212,01,01,02,02,12,12,30.9175,3.583333333,306.5666667,0,5
010213,01,01,02,02,13,13,31.40416667,3.75,326.15,0,6
010214,01,01,02,02,14,14,31.70916667,3.583333333,393.9833333,0,6
010215,01,01,02,02,15,15,31.555,4.583333333,327.8166667,0,5
010216,01,01,02,02,16,16,31.19,3.916666667,241.7083333,0,7
010217,01,01,02,02,17,17,30.45416667,5.75,177.7666667,0,7
010218,01,01,02,02,18,18,30.45166667,3.583333333,166.3083333,0,6
010219,01,01,02,02,19,19,29.7875,4.416666667,61.99166667,0,11
010220,01,01,02,02,20,20,29.5475,3.916666667,10.19166667,0,6
010221,01,01,02,02,21,21,29.46166667,2.583333333,0,0,7
010222,01,01,02,02,22,22,29.41333333,1.666666667,0.066666667,0,7
010223,01,01,02,02,23,23,29.40166667,2.333333333,0.066666667,0,7
010224,01,01,02,02,24,24,29.40416667,2,0,0,3
010301,01,01,03,03,01,01,29.38583333,1.166666667,0,0,1
010302,01,01,03,03,02,02,29.32666667,2.166666667,0,0,1
010303,01,01,03,03,03,03,29.31416667,1.916666667,0,0,1
010304,01,01,03,03,04,04,29.26333333,1.416666667,0,0,1
010305,01,01,03,03,05,05,29.24083333,1,0,0,2
010306,01,01,03,03,06,06,29.16833333,2,0,0,0
010307,01,01,03,03,07,07,29.28166667,0.833333333,4.491666667,0,0
010308,01,01,03,03,08,08,29.40916667,1.083333333,30.13333333,0,5
010309,01,01,03,03,09,09,30.23833333,2,85.65833333,0,1
010310,01,01,03,03,10,10,31.09833333,1.75,157.475,0,2
010311,01,01,03,03,11,11,32.0625,2.916666667,155.9583333,0,4
010312,01,01,03,03,12,12,33.3525,3.083333333,361.9916667,0,5
010313,01,01,03,03,13,13,33.61,5.583333333,493.9416667,0,5
010314,01,01,03,03,14,14,33.6025,4.833333333,487.0583333,0,5
010315,01,01,03,03,15,15,32.93583333,7.166666667,454.9,0,6
010316,01,01,03,03,16,16,32.1225,8.833333333,379.1166667,0,3
010317,01,01,03,03,17,17,31.4325,13,281.85,0,6
010318,01,01,03,03,18,18,31.44083333,8.416666667,178.8833333,0,8
010319,01,01,03,03,19,19,31.25666667,8.583333333,88.675,0,5
010320,01,01,03,03,20,20,30.70833333,6.833333333,19.91666667,0,8
010321,01,01,03,03,21,21,30.325,6.583333333,0,0,4
010322,01,01,03,03,22,22,30.15916667,3.75,0,0,9
010323,01,01,03,03,23,23,30.01166667,4.083333333,0,0,6
010324,01,01,03,03,24,24,29.74583333,5.25,0.133333333,0,3
010401,01,01,04,04,01,01,29.53416667,2.916666667,0.066666667,0,2
010402,01,01,04,04,02,02,29.305,6.166666667,0,0,1
010403,01,01,04,04,03,03,29.17666667,3.416666667,0,0,0
010404,01,01,04,04,04,04,29.06,2.25,0,0,1
010405,01,01,04,04,05,05,28.94583333,1,0,0,1
010406,01,01,04,04,06,06,28.96583333,2.166666667,0.2,0,0
010407,01,01,04,04,07,07,29.12,2.5,12.2,0,1
010408,01,01,04,04,08,08,29.76166667,2.5,58.03333333,0,1
010409,01,01,04,04,09,09,31.55416667,2.833333333,171.2333333,0,0
010410,01,01,04,04,10,10,34.06916667,3.5,290.3416667,0,1
010411,01,01,04,04,11,11,36.32416667,2.666666667,385.6416667,0,1
010412,01,01,04,04,12,12,37.40333333,2.75,453.9916667,0,2
010413,01,01,04,04,13,13,38.2975,3.75,493.075,0,3
010414,01,01,04,04,14,14,38.20416667,6.916666667,501.4833333,0,6
010415,01,01,04,04,15,15,37.72583333,8.25,399.975,0,3
010416,01,01,04,04,16,16,36.9725,10.58333333,321.5666667,0,6
010417,01,01,04,04,17,17,37.0425,11.41666667,225.3833333,0,5
010418,01,01,04,04,18,18,37.06166667,9.333333333,174.0083333,0,5
010419,01,01,04,04,19,19,37.46166667,11.33333333,71.98333333,0,12
010420,01,01,04,04,20,20,37.9125,12.83333333,11.725,0,9
010421,01,01,04,04,21,21,37.79333333,11.66666667,0,0,6
010422,01,01,04,04,22,22,36.01,6.916666667,0.066666667,0,8
010423,01,01,04,04,23,23,30.8175,9.25,0,0,7
010424,01,01,04,04,24,24,30.02,9.416666667,0.133333333,0,4
010501,01,01,05,05,01,01,29.56583333,9.75,0.066666667,0,2
010502,01,01,05,05,02,02,29.38833333,7.75,0.066666667,0,0
010503,01,01,05,05,03,03,29.12666667,6,0,0,1
010504,01,01,05,05,04,04,29.14333333,5,0.133333333,0,0
010505,01,01,05,05,05,05,29.19583333,4.75,0,0,0
010506,01,01,05,05,06,06,28.985,4,0,0,1
010507,01,01,05,05,07,07,28.82583333,4.666666667,14.225,0,0
010508,01,01,05,05,08,08,28.9825,4.666666667,64.225,0,0
010509,01,01,05,05,09,09,29.12833333,4.583333333,106.8583333,0,0
010510,01,01,05,05,10,10,29.75666667,5,204.9166667,0,1
010511,01,01,05,05,11,11,30.4625,5.083333333,271.8,0,0
010512,01,01,05,05,12,12,30.94916667,4.916666667,379.0083333,0,1
010513,01,01,05,05,13,13,31.0125,6.333333333,469.5583333,0,2
010514,01,01,05,05,14,14,30.86416667,6.666666667,276.0083333,0,3
010515,01,01,05,05,15,15,30.6475,7.416666667,277.1916667,0,1
010516,01,01,05,05,16,16,29.72833333,5.666666667,102.6833333,0,1
010517,01,01,05,05,17,17,29.48333333,5.833333333,112.9666667,0,3
010518,01,01,05,05,18,18,29.4575,6.583333333,90.6,0,8
010519,01,01,05,05,19,19,29.02,5.333333333,45.825,0,5
010520,01,01,05,05,20,20,28.63,5.666666667,8.391666667,0,6
010521,01,01,05,05,21,21,28.50083333,4.833333333,0,0,3
010522,01,01,05,05,22,22,28.49666667,4.083333333,0,0,3
010523,01,01,05,05,23,23,28.475,2.583333333,0.066666667,0,5
010524,01,01,05,05,24,24,28.26333333,2.75,0.066666667,0,3
010601,01,01,06,06,01,01,28.1075,1.75,0,0,1
010602,01,01,06,06,02,02,27.87333333,0.916666667,0,0,1
010603,01,01,06,06,03,03,27.49166667,0.166666667,0,0,2
010604,01,01,06,06,04,04,27.58333333,0.5,0,0,0
010605,01,01,06,06,05,05,27.96,1.166666667,0.066666667,0,1
